CATEGORY,ENGLISH,ARABIC,FRENCH,SPANISH
,Gamma Nonalactone,جاما نونالاكتون,Gamma Nonalactone,Gamma nonalactona
,Gamma Octalactone,جاما أوكتالاكتون,Gamma Octalactone,Gamma octalactona
,Gamma Undecalactone,جاما أنديكالاكتون,Gamma Undecalactone,Gamma undecalactona
,1 Decanol Natural,المعامل 504,Decanol 1 Naturel,Decanol 1 Natural
,1 Octanol,عامل عطري,Octanol 1,Octanol 1
,1 4 heptononolactone,رباعي الكربون هيبتونونولاكتون,Heptononolactone 1 4,Heptononolactone 1 4 
,10 K Thirst Quencher,راوي العطش,12 K Thirst Quencher,11 K Thirst Quencher
,100 Big Bar,قالب كبير,102 Big Bar,101 Big Bar
,100Plus,إضافة,Plus 100,Plus 100
,2 Ethylbutyric Acid,حمض الإثيلبيوتيريك,Acide éthylbutyrique 2,Ácido etilbutírico 2
,2 hydroxybiphenyl,هايدروزيبيفينيل,Hydroxybiphényle 2,Hidroxibifenilo 2
,2 Pentanone,بينتانون,Pentanone 2,Pentanone 2
,3 Methylthiopropionaldehyde,ميثيلثيوبربيو ألدهايد,Méthylthiopropionaldéhyde 3,Metiltiopropionaldehído 3
,4 Hexylresorcinol,هيكسيلريزورسينول,Hexylrésorcinol 4,Hexylresorcinol 4
,4 Hydroxymethyl 2 6 Di Tert Butylphenol,4 هيدروكسيميثيل 2، 6 ثنائي تيرت بوتيلفينول,4 hydroxyméthyl 2 6 di tert butylphénol,4 Hydroxymethyl 2 6 Di Tert Butylphenol
,5 Hour Energy,ساعة طاقة,5 Hour Energy,5 Hour Energy
,Aarul,أرول,Lait caillé,Leche cuajada
,Aaruul,أرول,Lait caillé,Leche cuajada
,Abalone,حلزون بحري,Ormeau,Abalón
,Abietic Acid,ملمع,Acide abiétique,Ácido abiético
,About,عن,Environ,Alrededor de
,Absinthe,أفسنتين,Absinthe,Absenta
,ACA,صفحة المواقع,Agents anti agglomérants,Agentes antiaglomerantes
,Acacia,السنط,Acacia,Acacia
,Acacia Gum,علكة الأقاقيا,Gomme d'acacia,Goma de acacia
,Acacia Vera,مستحضر الأقاقيا,Gomme arabique,Goma arábica
,Acai,نخل بري,Açai,Palmera de azaí
,Acai Palm,نخل الأكاي,Palmier d'açai,Palmera de azaí
,Accelerade,شراب بروتين,Accelerade,Accelerade
,Acesulfame,مستحضر بوتاسيوم,Acésulfame,Acesulfamo
,Acesulfame K,مستحضر بوتاسيوم K,Acésulfame K,Acesulfamo K
,Acesulfame Potassium,بوتاسيوم,Acésulfame de potassium,Acesulfamo de potasio
,Acetanisole,عامل عطري,Acétanisole,Acetanisola
,Acetic Acid,روح الخل,Acide acétique,Ácido acético
,Acetic Acid Esters of Mono and Diglycerides of Fatty Acids,روح الخل,Esters d'Acides Acétiques de Mono et Diglycérides d'Acides Gras,Ésteres de ácido acético de mono y diglicéridos de ácidos grasos
,Acetic Acid Glacial,روح الخل,Acide Acétique Glacial,Ácido Acético Glacial
,Acetic Anhydride,روح الخل,Anhydride acétique,Anhídrido acético
,Acetone Peroxide,أسيتون,Peroxyde d'acétone,Peróxido de acetona
,Acetyl Tartrate Mono and Diglyceride,أنزيم خل,Mono et diglycéride de tartrate d'acétyle,Mono y diglicérido de tartrato de acetilo
,Acetylated Distarch Adipate,ثنائي النشا بالأستيل,Adipate de diamidon acétylé,Adipato de dialmidón acetilado
,Acetylated Distarch Phosphate,ثنائي النشا بالأستيل مع الفوسفات,Phosphate de distarque acétylé,Fosfato de dialmidón acetilado
,Acetylated Monoglyceride,أحادي الجليسورد بالأستيل,Monoglycéride acétylé,Monoglicérido acetilado
,Acetylated Oxidised Starch,نشا مؤكسد بالأستيل,Amidon oxydé acétylé,Almidón oxidado acetilado
,Acetylated Starch,نشا الأستيل,Amidon acétylé,Almidón acetilado
,Acetylated starch Starch acetate,نشا الأستيل,Amidon acétylé Acétate d'amidon,Almidón acetilado Acetato de almidón
,Acetylated Tartaric Acid Monoglyceride,حمض أحادي الجليسريد المؤستل,Monoglycéride d'acide tartrique acétylé,Monoglicerio de ácido tártrico acetilado
,Achiote Seed,مطهر البذور,Graine d'achiote,Semilla de achiote
,Acid Calcium Phosphate,أسيد فوسفات الكالسيوم,Phosphate acide de calcium,Fosfato ácido de calcio
,Acid Casein,حمض قاني,Caséine acide,Caseína ácida
,Acid Phosphate,حمض الفوسفات,Phosphate acide,Fosfato ácido
