ENGLISH,ARABIC,FRENCH,SPANISH
Black 7984,صبغة سوداء,Noir 7984,Negro 7984
Black Beans,فاصوليا سوداء,Haricots noirs,Frijoles negros
Black Beer,مشروب شعير أسود,Bière noire,Cerveza negra
Black Bottom Pie,فطيرة بلاك بوتوم,Tarte avec base au chocolat,Pastel con base de chocolate
Black Bread,خبز أسود,Pain noir,Pan negro
Black Cardamom,هيل أسود,Cardamome noire,Cardamomo negro
Black Cod,سمك القد الأسود,Morue noire,Bacalao negro
Black Cumin,كمون أسود,Cumin noir,Comino negro
Black Forest Gateau,كيك بلاك فوريست,Gâteau Forêt Noire,Pastel Selva negra
Black Forest Ham,لحم خنزير بلاك فورست,Jambon de la Forêt Noire,Jamón selva negra
Black Haw,رباطية خوخية الورق أو أفلوس خوخي الورق,Aubépine,Espino
Black Haw Bark,لحاء رباطية خوخية الورق أو أفلوس خوخي الورق,Ecorce d'aubépine,Corteza de espino
Black Haw Bark Extract,خلاصة رباطية خوخية الورق أو خلاصة أفلوس خوخي الورق,Extrait d'écorce d'aubépine,Extracto de corteza de espino
Black Limes,الليمون الأسود,Lime séchée,Lima seca
Black Magic,السحر الأسود,Magie noire,Magia Negra
Black Mustard,خردل أسود,Moutarde noire,Mostaza negra
Black Onyx,العقيق الأسود,Onyx noir,Ónix negro
Black Pepper,فلفل أسود,Poivre noir,Pimienta negra
Black Plum,البرقوق الأسود,Prune noire,Ciruela negra
Black PN,صبغة سوداء,Noir brillant BN,Negro brillante BN
Black Pudding,بودينغ أسود,Boudin noir,Morcilla
Black Salt,ملح أسود,Sel noir,Sal negra
Black Sapote,خرمال أسود,Sapote noire,Zapote negro
Black Sea Bass,سمك القاروص الأسود,Bar noir,Lubina negra
Black Seed Oil,زيت حبة البركة,Huile de graine noire,Aceite de semilla de negro
Black Tea,شاي أسود,Thé noir,Té negro
Black Tiger Shrimp,جمبري أسود عملاق,Crevette tigrée noire,Gambas tigre negro
Black eyed Peas,لوبيا,Cornille,Alubia carilla
Blackberry,توت أسود,Mûre,Mora
Blackberry and Apple Pie,فطيرة التفاح والتوت الأسود,Tarte aux mûres et pommes,Tarta de manzana y moras
Blackberry Cake,كيك التوت الأسود,Gâteau aux mûres,Pastel de moras
Blackberry Pie,فطيرة التوت الأسود,Tarte aux mûres,Tarta de moras
Blackcurrant,كشمش أسود,Cassis,Zarzaparrilla negra
Blackcurrant Seed Oil,زيت بذرة الكشمش الأسود,Huile de pépins de cassis,Aceite de semillas de zarzaparrilla
Blackfin Tuna,سمكة التونة ذات الزعنفة السوداء,Thon à nageoires noires,Atún de aleta negra
Blanched,"مُبيض
",Blanchi/ie,Blanqueado/a
Blancmange,مهلبية,Blanc-manger,Manjar blanco
BLE,عامل مبيض,Décolorants,Decolorante
Bleached Flour,دقيق أبيض,Farine blanchie,Harina blanqueada
Bleached Starch,نشاء أبيض,Amidon blanchi,Almidón blanqueado
Bleached wheat flour,دقيق قمح أبيض,Décolorants,Decolorante
Bleaching Agents,عامل مبيض,Décolorants,Decolorante
Blend,مزج,Mélange,Mezcla
Blood Orange,برتقال أحمر برتقال ماوردي,Orange sanguine,Naranja roja
Blowfish,السمكة المنتفخة,Diodontidae,Fugu
Blue Cheese,جبنة زرقاء,Fromage à pâte persillée,Queso azul
Blue Cheshire,جبنة شيشاير الزرقاء,Cheshire bleu,Queso azul de Cheshire
Blue Crab,سلطعون أزرق,Crabe bleu,Jaiba azul
Blue Grenadier,سمكة جرينادير الزرقاء,Grenadier bleu,Hoki
Blue Mackerel,سمكة الإسقمري الزرقاء,Maquereau bleu,Caballa azul
Blue Mussel,بلح البحر الأزرق,Moule bleue,Mejillón
Blue Stilton,جبنة ستيلتون الزرقاء,Stilton bleu,Stilton azul
Blueberry,التوت البري,Myrtille,Arándano
Blueberry Pie,فطيرة التوت البري,Tarte aux myrtilles,Pastel de arandanos
Bluefin Tuna,سمكة التونة ذات الزعنفة الزرقاء,Thon rouge,Atún rojo
Bluefish,سمك القنبر السمكة الزرقاء,Tassergal,Anjova
Bluegill,الخيشوم,Crapet arlequin,Bluegill
Bock,شراب شعير بوك,Bock,Bock
BodyArmor,درع,BodyArmor,Armadura
Bodying Agent,عامل مكثف,Agent de corps,Agente corporales
Boiled,مسلوق مغلي,Bouilli/ie,Hervido/a
Bok Choy,ملفوف صيني,Bok Choy,Bok Choy
Bolivian Coriander,كزبرة بوليفية,Coriandre de Bolivie,Cilantro boliviano
Bolognese Sauce,صلصة البولونيز,Sauce bolognaise,Salsa boloñesa
Bombay Duck,بط بومباي,Canard de Bombay,Pato de Bombay
Bombe Glacee,حلى بومبيه,Bombe glacée,Postre helado
Bone Phosphate,فوسفات العظام,Phosphate osseux,Fosfato de hueso
Bonito,سمك بونيتو,Sardini,Bonito
Bonito Flakes,قشر سمك البونيتو,Katsuobushi,Migas de bonito
Borage,زهور لسان الثور,Bourrache,Borraja
Borage Seed Oil,زيت بذرة زهور لسان الثور,Huile de graines de bourrache,Aceite de semilla de borraja
Borax,بودرة البوراكس,Borax,Bórax
Boric Acid,حمض البوريك,Acide borique,Ácido bórico
Borlotti Bean,فاصوليا بورلوتي,Haricot de canneberge,Judias pintas
Boston Cream Pie,فطيرة بوسطن كريم,Gâteau à la crème de Boston,Tarta de Crema de Boston
Bouillon Cube,مكعب مرقة,Bouillon de cube,Cubo de caldo
Boule Bread,خبز بول الفرنسي,Pain Boule,Pan de Boule
Bounty,باونتي شوكولا باونتي,Bounty,Barra de chocolate Bounty
Bourbon,مشروب البوربون,Bourbon,Bourbon
Bourbon Whiskey,ويسكي بوربون,Whisky Bourbon,Whiskey de Bourbon 
Boysenberry,توت بويسينبيري,Mûre de Boysen,Zarzamora
Boza,كحول بوزا,Boza,Boza
Bozo,كحول بوزو,Bozo,Bozo
BPA,بيسفينول A,Bisphénol A,Bisfenol A
Bran,نخالة,Son de blé,Salvado
Brandy,مشروب براندي,Brandy,Brandy
Brandy Snaps,براندي سنابس,Brandy snaps,Brandy snaps
Brazil Wax,شمع برازيلي,Cire de carnauba,Cera de carnaúba
Bread,خبز,Pain,Pan
Bread and Butter Pudding,خبز وزبدة,Pudding au pain et beurre,Pudin de pan y mantequilla
Bread Flour,دقيق الخبز,Farine de pain,Harina panadera
Bread Pudding,حشوة الخبز,Pudding au pain,Budin de pan
Bread Roll,قطعة خبز,Petit pain,Mediasnoches
Bread Sauce,صلصة خبز,Sauce au pain,Salsa de pan
Breakfast Muffin,مفنية صباحية,Muffin anglais,Muffin inglés
Breakfast Tea,شاي فطور,English breakfast,English breakfast
Brem,سمك الأبراميس,Brem,Brem
Brem Cake,بريم,Gâteau Brem,Pastel de Brem
Bresaola,كيك بريم,Bresaola,Bresaola
